Skeletal Age,7-0,7-3,7-6,7-9,8-0,8-3,8-6,8-9,9-0,9-3,9-6,9-9,10,10-3,10-6,10-9,11,11-3,11-6,11-9,12-0,12-3,12-6,12-9,13-0,13-3,13-6,13-9,14-0,14-3,14-6,14-9,15-0,15-3,15-6,15-9,16-0,16-3,16-6,16-9,17-0,17-3,17-6,17-9,18-0,18-3,18-6
Mature Height,,,,,,,,,,,,,,,,,,,,,,,,,87.6,89,90.2,91.4,92.7,93.8,94.8,95.8,96.8,97.3,97.6,98,98.2,98.5,98.7,98.9,99.1,99.3,99.4,99.5,99.6,99.8,100
Ht. (inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,61.9,61.3,60.6,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,63.3,62.7,62.1,61.5,60.9,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,64.7,64.1,63.5,62.8,62.2,61.6,60.9,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,66.2,65.5,64.9,64.2,63.6,62.9,62.2,61.7,61.2,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,67.6,67,66.3,65.6,65,64.3,63.6,63,62.5,61.8,61.1,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,69.1,68.4,67.7,67,66.4,65.7,65,64.3,63.8,63.1,62.4,61.8,61.2,60.7,60.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,70.5,69.8,69.1,68.4,67.8,67,66.3,65.7,65.2,64.4,63.7,63.1,62.5,61.9,61.6,61.3,60.9,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,71.9,71.2,70.5,69.8,69.2,68.4,67.7,67,66.5,65.7,65,64.4,63.8,63.2,62.9,62.5,62.2,61.6,61.1,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
