Skeletal Age,7-0,7-3,7-6,7-9,8-0,8-3,8-6,8-10,9-0,9-3,9-6,9-9,10-0,10-3,10-6,10-9,11-0,11-3,11-6,11-9,12-0,12-3,12-6,12-9,13-0,13-3,13-6,13-9,14-0,14-3,14-6,14-9,15-0,15-3,15-6,15-9,16-0,16-3,16-6,16-9,17-0,17-3
% of Mature Height Ht. (inches),71.2,72.2,73.2,74.2,75,76,77.1,78.4,79,80,80.9,81.9,82.8,84.1,85.6,87,88.3,89.7,89.1,89.7,90.1,91.3,92.4,93.5,94.5,95.5,96.8,96.8,97.2,97.7,98,98.3,98.6,98.8,99,99.2,99.3,99.4,99.5,99.7,99.8,99.95
37,52,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,53.4,52.6,51.9,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,54.8,54,53.3,52.6,52,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,56.2,55.4,54.6,53.9,53.3,52.6,51.9,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,57.6,56.8,56,55.3,54.7,53.9,53.2,52.3,51.9,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,59,58.2,57.4,56.6,56,55.3,54.5,53.8,53.2,52.5,51.9,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,60.4,59.6,58.7,58,57.3,56.6,55.8,54.8,54.4,53.8,53.2,52.5,51.9,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,61.8,60.9,60.1,59.3,58.7,57.9,57.1,56.1,55.7,55,54.4,53.7,53.1,52.3,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,63.2,62.3,61.5,60.6,60,59.2,58.4,57.4,57,56.3,55.6,54.9,54.3,53.5,52.6,51.7,51,,,,,,,,,,,,,,,,,,,,,,,,,
46,64.6,63.7,62.8,62,61.3,60.5,59.7,58.7,58.2,57.5,56.9,56.2,55.6,54.7,53.7,52.9,52.1,51.9,51.6,51.3,51.1,,,,,,,,,,,,,,,,,,,,,
47,66,65.1,64.2,63.3,62.7,61.8,61,59.9,59.5,58.8,58.1,57.4,56.8,55.9,54.9,54,53.2,53,52.7,52.4,52.2,51.5,,,,,,,,,,,,,,,,,,,,
48,67.4,66.5,65.6,64.7,64,63.2,62.3,61.2,60.8,60,59.3,58.6,58,57.1,56.1,55.2,54.4,54.1,53.9,53.5,53.3,52.6,51.9,51.3,,,,,,,,,,,,,,,,,,
49,68.8,67.9,66.9,66,65.3,64.5,63.6,62.5,62,61.3,60.6,59.8,59.2,58.3,57.2,56.3,55.5,55.2,55,54.6,54.4,53.7,53,52.4,51.9,51.3,50.9,,,,,,,,,,,,,,,
50,70.2,69.3,68.3,67.4,66.7,65.8,64.9,63.8,63.3,62.5,61.8,61.1,60.4,59.5,58.4,57.5,56.6,56.4,56.1,55.7,55.5,54.8,54.1,53.5,52.9,52.4,51.9,51.7,51.4,51.2,51,,,,,,,,,,,
51,71.6,70.6,69.7,68.7,68,67.1,66.1,65.1,64.6,63.8,63,62.3,61.6,60.6,59.6,58.6,57.8,57.5,57.2,56.9,56.6,55.9,55.2,54.5,54,53.4,53,52.7,52.5,52.2,52,51.9,51.7,51.6,51.5,51.4,51.4,51.3,51.3,51.2,51.1,51
52,73,72,71,70.1,69.3,68.4,67.4,66.3,65.8,65,64.3,63.5,62.8,61.8,60.7,59.8,58.9,58.6,58.4,58,57.7,57,56.3,55.6,55,54.5,54,53.7,53.5,53.2,53.1,52.9,52.7,52.6,52.5,52.4,52.4,52.3,52.3,52.2,52.1,52
53,74.4,73.4,72.4,71.4,70.7,69.7,68.7,67.6,67.1,66.3,65.5,64.7,64,63,61.9,60.9,60,59.8,59.5,59.1,58.8,58.1,57.4,56.7,56.1,55.5,55,54.8,54.5,54.2,54.1,53.9,53.8,53.6,53.5,53.4,53.4,53.3,53.3,53.2,53.1,53
54,,74.8,73.8,72.8,72,71.1,70,68.9,68.4,67.5,66.7,65.9,65.2,64.2,63.1,62.1,61.2,60.9,60.6,60.2,59.9,59.1,58.4,57.8,57.1,56.5,56.1,55.8,55.6,55.3,55.1,54.9,54.8,54.7,54.5,54.4,54.4,54.3,54.3,54.2,54.1,54
55,,,,74.1,73.3,72.4,71.3,70.2,69.9,68.8,68,67.2,66.4,65.4,64.3,63.2,62,62,61.7,61.3,61,60.2,59.5,58.8,58.2,57.6,57.1,56.8,56.6,56.3,56.1,56,55.8,55.7,55.5,55.4,55.4,55.3,55.3,55.2,55.1,55
56,,,,,74.7,73.8,72.6,71.4,70.8,70,69.2,68.4,67.6,66.6,65.4,64.4,63.1,63.1,62.8,62.4,62.1,61.3,60.6,59.9,59.3,58.6,58.2,57.9,57.6,57.3,57.1,57,56.8,56.7,56.5,56.5,56.4,56.3,56.3,56.2,56.1,56
57,,,,,,,73.9,72.7,72,71.3,70.5,69.6,69,67.8,66.6,65.5,64.3,64.3,64,63.5,63.3,62.4,61.7,61,60.3,59.7,59.2,58.9,58.6,58.3,58.2,58,57.8,57.7,57.6,57.5,57.4,57.3,57.3,57.2,57.1,57
