Skeletal Age,6-0,6-3,6-6,6-10,7-0,7-3,7-6,7-10,8-0,8-3,8-6,8-10,9-0,9-3,9-6,9-9,10-0,10-3,10-6,10-9,11-0,11-3,11-6,11-9,12-0,12-3,12-6,12-9,13-0,13-3,13-6,13-9,14-0,14-3,14-6,14-9,15-0,15-3,15-6,15-9,16-0,16-3,16-6,16-9,17-0
% of Mature Height Ht. (inches),73.3,74.2,75.1,76.3,77,77.9,78.8,79.7,80.4,81.3,82.3,83.6,84.1,85.1,85.8,86.6,87.4,88.4,89.6,90.7,91.8,92.2,92.6,92.9,93.2,94.2,94.9,95.7,96.4,97.1,97.7,98.1,98.3,98.6,98.9,99.2,99.4,99.5,99.6,99.7,99.8,99.9,99.9,99.95,100
38,51.8,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,53.2,52.6,51.9,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,54.6,53.9,53.3,52.4,51.9,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,55.9,55.3,54.6,53.7,53.2,52.6,52,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,57.3,56.6,55.9,55,54.5,53.9,53.3,52.7,52.2,51.7,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,58.7,58,57.3,56.4,55.8,55.2,54.6,54,53.5,52.9,52.2,51.4,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,60,59.3,58.6,57.7,57.1,56.5,55.9,55.2,54.7,54.1,53.5,52.6,52.3,51.7,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,61.4,60.6,59.9,59,58.4,57.8,57.1,56.5,56,55.4,54.7,53.8,53.5,52.9,52.4,52,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,62.8,62,61.3,60.3,59.7,59.1,58.4,57.7,57.2,56.6,55.9,55,54.7,54.1,53.6,53.1,52.6,52,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,
47,64.1,63.3,62.6,61.6,61,60.3,59.6,59,58.5,57.8,57.1,56.2,55.9,55.2,54.8,54.3,53.8,53.2,52.5,51.8,51.2,51,,,,,,,,,,,,,,,,,,,,,,,
48,65.5,64.7,63.9,62.9,62.3,61.6,60.9,60.2,59.7,59,58.3,57.4,57.1,56.4,55.9,55.4,54.9,54.3,53.6,52.9,52.3,52.1,51.8,51.7,51.5,51,,,,,,,,,,,,,,,,,,,
49,66.9,66,65.2,64.2,63.6,62.9,62.2,61.5,60.9,60.3,59.5,58.6,58.3,57.6,57.1,56.6,56.1,55.4,54.7,54,53.4,53.1,52.9,52.7,52.6,52,51.6,51.2,,,,,,,,,,,,,,,,,
50,68.2,67.4,66.6,65.5,64.9,64.2,63.5,62.7,62.2,61.5,60.8,59.9,59.5,58.8,58.3,57.7,57.2,56.6,55.8,55.1,54.5,54.2,54,53.8,53.6,53.1,52.7,52.2,51.9,51.5,51.2,51,,,,,,,,,,,,,
51,69.6,68.7,67.9,66.8,66.2,65.5,64.7,64,63.4,62.7,62,61,60.6,59.9,59.4,58.9,58.4,57.7,56.9,56.2,55.6,55.3,55.1,54.9,54.7,54.1,53.7,53.3,52.9,52.5,52.2,52,51.9,51.7,51.6,51.4,51.3,51.3,51.2,51.2,51.1,51.1,51.1,51,51
52,70.9,70.1,69.2,68.2,67.5,66.8,66,65.2,64.7,64,63.2,62.2,61.8,61.1,60.6,60,59.5,58.8,58,57.3,56.6,56.4,56.2,56,55.8,55.2,54.8,54.3,53.9,53.6,53.2,53,52.9,52.7,52.6,52.4,52.3,52.3,52.2,52.2,52.1,52.1,52.1,52,52
53,72.3,71.4,70.6,69.5,68.8,68,67.3,66.5,65.9,65.2,64.4,63.4,63,62.3,61.8,61.2,60.6,60,59.2,58.4,57.7,57.5,57.3,57.1,56.9,56.3,55.8,55.4,55,54.6,54.2,54,53.9,53.8,53.6,53.4,53.3,53.3,53.2,53.2,53.1,53.1,53.1,53,53
54,73.7,72.8,71.9,70.8,70.1,69.3,68.5,67.8,67.2,66.4,65.6,64.6,64.2,63.5,62.9,62.4,61.8,61.1,60.3,59.5,58.8,58.6,58.3,58.1,57.9,57.3,56.9,56.4,56,55.6,55.3,55,54.9,54.8,54.6,54.4,54.3,54.3,54.2,54.2,54.1,54.1,54.1,54,54
