Skeletal Age,6-0,6-3,6-6,6-9,7-0,7-3,7-6,7-9,8-0,8-3,8-6,8-10,9-0,9-3,9-6,9-9,10-0,10-3,10-6,10-9,11-0,11-3,11-6,11-9,12-0,12-3,12-6,12-9,13-0,13-3,13-6,13-9,14-0,14-3,14-6,14-9,15-0,15-3,15-6,15-9,16-0,16-3,16-6,16-9,17-0,17-6,18-0
% of Mature Height Ht. (inches),72,72.9,73.8,75.1,75.7,76.5,77.2,78.2,79,80.1,81,82.1,82.7,83.6,84.4,85.3,86.2,87.4,88.4,89.6,90.6,91,91.4,91.8,92.2,93.2,94.1,95,95.8,96.7,97.4,97.8,98,98.3,98.6,98.8,99,99.1,99.3,99.4,99.6,99.6,99.7,99.8,99.9,99.9,100
37,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,52.8,52.1,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,54.2,53.5,52.8,52,51.5,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,55.6,54.9,54.2,53.5,52.8,52.3,51.8,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,56.9,56.2,55.6,54.6,54.2,53.6,53.1,52.4,51.9,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,58.3,57.6,56.9,55.9,55.5,54.9,54.4,53.7,53.2,52.4,51.9,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,59.7,59,58.3,57.3,56.8,56.2,55.7,55,54.4,53.7,53.1,52.4,52,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,61.1,60.4,59.6,58.6,58.1,57.5,57,56.3,55.7,54.9,54.3,53.6,53.2,52.6,52.1,51.6,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,62.5,61.7,61,59.9,59.4,58.8,58.3,57.5,57,56.2,55.6,54.8,54.4,53.8,53.3,52.8,52.2,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,63.9,63.1,62.3,61.3,60.8,60.1,59.6,58.8,58.2,57.4,56.8,56,55.6,55,54.5,53.9,53.4,52.6,52,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,65.3,64.5,63.7,62.6,62.1,61.4,60.9,60.1,59.5,58.7,58,57.2,56.8,56.2,55.7,55.1,54.5,53.8,53.2,52.5,51.9,51.6,51.4,51.2,51,,,,,,,,,,,,,,,,,,,,,,
