Day,L,M,S
0,-0.0631,13.3363,0.09272
1,0.0362,13.3185,0.0936
2,0.1355,13.3006,0.09448
3,0.2347,13.2828,0.09535
4,0.334,13.2649,0.09623
5,0.4333,13.247,0.09711
6,0.5326,13.2292,0.09799
7,0.6319,13.2113,0.09887
8,0.6142,13.2455,0.09866
9,0.5965,13.2796,0.09845
10,0.5789,13.3137,0.09824
11,0.5612,13.3478,0.09804
12,0.5435,13.3819,0.09783
13,0.5258,13.416,0.09762
14,0.5082,13.4501,0.09741
15,0.4947,13.5169,0.09726
16,0.482,13.5873,0.09711
17,0.4699,13.6595,0.09697
18,0.4583,13.7325,0.09684
19,0.4472,13.8056,0.09671
20,0.4365,13.8784,0.09659
21,0.4263,13.9505,0.09647
22,0.4164,14.0216,0.09636
23,0.4069,14.0916,0.09625
24,0.3977,14.1603,0.09615
25,0.3888,14.2276,0.09605
26,0.3802,14.2935,0.09595
27,0.3718,14.3579,0.09586
28,0.3637,14.4208,0.09577
29,0.3558,14.4824,0.09568
30,0.3481,14.5422,0.09559
31,0.3406,14.6003,0.09551
32,0.3333,14.6566,0.09543
33,0.3262,14.7112,0.09535
34,0.3192,14.7642,0.09527
35,0.3124,14.8157,0.0952
36,0.3058,14.8657,0.09513
37,0.2993,14.9142,0.09506
38,0.2929,14.9614,0.09499
39,0.2867,15.0073,0.09492
40,0.2806,15.052,0.09485
41,0.2747,15.0955,0.09479
42,0.2688,15.138,0.09472
43,0.263,15.1794,0.09466
44,0.2574,15.2198,0.0946
45,0.2519,15.2591,0.09454
46,0.2464,15.2974,0.09448
47,0.2411,15.3347,0.09442
48,0.2358,15.3709,0.09436
49,0.2306,15.4063,0.09431
50,0.2255,15.4408,0.09425
51,0.2205,15.4744,0.0942
52,0.2156,15.5072,0.09415
53,0.2107,15.5393,0.0941
54,0.2059,15.5706,0.09404
55,0.2012,15.6012,0.09399
56,0.1966,15.6311,0.09394
57,0.192,15.6604,0.09389
58,0.1875,15.689,0.09385
59,0.183,15.717,0.0938
60,0.1787,15.7444,0.09375
61,0.1743,15.7713,0.09371
62,0.17,15.7975,0.09366
63,0.1658,15.8232,0.09361
64,0.1617,15.8483,0.09357
65,0.1575,15.8729,0.09353
66,0.1535,15.8968,0.09348
67,0.1495,15.9202,0.09344
68,0.1455,15.9431,0.0934
69,0.1416,15.9655,0.09336
70,0.1377,15.9874,0.09332
71,0.1339,16.0087,0.09328
72,0.1301,16.0297,0.09324
73,0.1263,16.0501,0.0932
74,0.1226,16.0702,0.09316
75,0.119,16.0897,0.09312
76,0.1154,16.1089,0.09308
77,0.1118,16.1277,0.09304
78,0.1082,16.1461,0.093
79,0.1047,16.164,0.09297
80,0.1013,16.1817,0.09293
81,0.0978,16.1989,0.09289
82,0.0944,16.2158,0.09286
83,0.0911,16.2323,0.09282
84,0.0877,16.2485,0.09279
85,0.0844,16.2644,0.09275
86,0.0811,16.28,0.09272
87,0.0779,16.2952,0.09268
88,0.0747,16.3101,0.09265
89,0.0715,16.3247,0.09262
90,0.0684,16.339,0.09258
91,0.0652,16.3531,0.09255
92,0.0621,16.3668,0.09252
93,0.0591,16.3803,0.09249
94,0.056,16.3935,0.09245
95,0.053,16.4065,0.09242
96,0.05,16.4192,0.09239
97,0.0471,16.4316,0.09236
98,0.0442,16.4438,0.09233
99,0.0412,16.4557,0.0923
100,0.0384,16.4673,0.09227
101,0.0355,16.4788,0.09224
102,0.0327,16.49,0.09221
103,0.0298,16.5009,0.09218
104,0.027,16.5117,0.09215
105,0.0243,16.5222,0.09212
106,0.0215,16.5325,0.09209
107,0.0188,16.5426,0.09206
108,0.0161,16.5525,0.09203
109,0.0134,16.5622,0.09201
110,0.0107,16.5717,0.09198
111,0.0081,16.581,0.09195
112,0.0055,16.5901,0.09192
113,0.0029,16.5991,0.09189
114,0.0003,16.6078,0.09187
115,-0.0023,16.6164,0.09184
116,-0.0048,16.6249,0.09181
117,-0.0074,16.6331,0.09179
118,-0.0099,16.6412,0.09176
119,-0.0124,16.6492,0.09173
120,-0.0148,16.657,0.09171
121,-0.0173,16.6647,0.09168
122,-0.0197,16.6722,0.09166
123,-0.0222,16.6795,0.09163
124,-0.0246,16.6868,0.09161
125,-0.027,16.6939,0.09158
126,-0.0293,16.7009,0.09156
127,-0.0317,16.7077,0.09153
128,-0.034,16.7144,0.09151
129,-0.0364,16.721,0.09148
130,-0.0387,16.7274,0.09146
131,-0.041,16.7337,0.09143
132,-0.0433,16.7399,0.09141
133,-0.0455,16.746,0.09139
134,-0.0478,16.7519,0.09136
135,-0.05,16.7577,0.09134
136,-0.0522,16.7634,0.09131
137,-0.0545,16.7689,0.09129
138,-0.0566,16.7743,0.09127
139,-0.0588,16.7797,0.09125
140,-0.061,16.7848,0.09122
141,-0.0632,16.7899,0.0912
142,-0.0653,16.7948,0.09118
143,-0.0674,16.7997,0.09116
144,-0.0696,16.8044,0.09113
145,-0.0717,16.809,0.09111
146,-0.0737,16.8134,0.09109
147,-0.0758,16.8178,0.09107
148,-0.0779,16.822,0.09104
149,-0.08,16.8262,0.09102
150,-0.082,16.8302,0.091
151,-0.084,16.8341,0.09098
152,-0.086,16.8379,0.09096
153,-0.0881,16.8416,0.09094
154,-0.0901,16.8452,0.09092
155,-0.092,16.8487,0.0909
156,-0.094,16.8521,0.09088
157,-0.096,16.8554,0.09085
158,-0.0979,16.8586,0.09083
159,-0.0999,16.8617,0.09081
160,-0.1018,16.8648,0.09079
161,-0.1037,16.8677,0.09077
162,-0.1056,16.8705,0.09075
163,-0.1075,16.8732,0.09073
164,-0.1094,16.8759,0.09071
165,-0.1113,16.8784,0.09069
166,-0.1132,16.8808,0.09067
167,-0.115,16.8832,0.09065
168,-0.1169,16.8854,0.09063
169,-0.1187,16.8876,0.09061
170,-0.1206,16.8897,0.09059
171,-0.1224,16.8917,0.09058
172,-0.1242,16.8936,0.09056
173,-0.126,16.8954,0.09054
174,-0.1278,16.8971,0.09052
175,-0.1296,16.8987,0.0905
176,-0.1314,16.9002,0.09048
177,-0.1331,16.9017,0.09046
178,-0.1349,16.9031,0.09044
179,-0.1366,16.9043,0.09043
180,-0.1384,16.9055,0.09041
181,-0.1401,16.9066,0.09039
182,-0.1418,16.9077,0.09037
183,-0.1436,16.9086,0.09035
184,-0.1453,16.9095,0.09033
185,-0.147,16.9102,0.09032
186,-0.1487,16.9109,0.0903
187,-0.1503,16.9116,0.09028
188,-0.152,16.9121,0.09026
189,-0.1537,16.9125,0.09024
190,-0.1554,16.9129,0.09023
191,-0.157,16.9132,0.09021
192,-0.1587,16.9135,0.09019
193,-0.1603,16.9136,0.09017
194,-0.1619,16.9137,0.09016
195,-0.1635,16.9137,0.09014
196,-0.1652,16.9136,0.09012
197,-0.1668,16.9135,0.09011
198,-0.1684,16.9133,0.09009
199,-0.17,16.913,0.09007
200,-0.1715,16.9127,0.09006
201,-0.1731,16.9122,0.09004
202,-0.1747,16.9118,0.09002
203,-0.1763,16.9112,0.09001
204,-0.1778,16.9106,0.08999
205,-0.1794,16.9099,0.08997
206,-0.1809,16.9091,0.08996
207,-0.1824,16.9083,0.08994
208,-0.184,16.9074,0.08992
209,-0.1855,16.9065,0.08991
210,-0.187,16.9055,0.08989
211,-0.1885,16.9044,0.08988
212,-0.19,16.9033,0.08986
213,-0.1915,16.9021,0.08984
214,-0.193,16.9008,0.08983
215,-0.1945,16.8995,0.08981
216,-0.196,16.8981,0.0898
217,-0.1975,16.8967,0.08978
218,-0.1989,16.8952,0.08976
219,-0.2004,16.8937,0.08975
220,-0.2018,16.8921,0.08973
221,-0.2033,16.8905,0.08972
222,-0.2047,16.8888,0.0897
223,-0.2062,16.887,0.08969
224,-0.2076,16.8852,0.08967
225,-0.209,16.8834,0.08966
226,-0.2104,16.8814,0.08964
227,-0.2119,16.8795,0.08963
228,-0.2133,16.8775,0.08961
229,-0.2147,16.8754,0.0896
230,-0.2161,16.8733,0.08958
231,-0.2175,16.8712,0.08957
232,-0.2188,16.869,0.08955
233,-0.2202,16.8667,0.08954
234,-0.2216,16.8644,0.08952
235,-0.223,16.8621,0.08951
236,-0.2243,16.8597,0.08949
237,-0.2257,16.8572,0.08948
238,-0.227,16.8548,0.08947
239,-0.2284,16.8522,0.08945
240,-0.2297,16.8497,0.08944
241,-0.2311,16.8471,0.08942
242,-0.2324,16.8444,0.08941
243,-0.2337,16.8417,0.08939
244,-0.2351,16.839,0.08938
245,-0.2364,16.8362,0.08937
246,-0.2377,16.8334,0.08935
247,-0.239,16.8305,0.08934
248,-0.2403,16.8276,0.08932
249,-0.2416,16.8247,0.08931
250,-0.2429,16.8217,0.0893
251,-0.2442,16.8187,0.08928
252,-0.2455,16.8157,0.08927
253,-0.2467,16.8126,0.08926
254,-0.248,16.8095,0.08924
255,-0.2493,16.8063,0.08923
256,-0.2505,16.8031,0.08921
257,-0.2518,16.7999,0.0892
258,-0.2531,16.7967,0.08919
259,-0.2543,16.7934,0.08917
260,-0.2556,16.79,0.08916
261,-0.2568,16.7867,0.08915
262,-0.258,16.7833,0.08913
263,-0.2593,16.7799,0.08912
264,-0.2605,16.7764,0.08911
265,-0.2617,16.773,0.08909
266,-0.263,16.7695,0.08908
267,-0.2642,16.7659,0.08907
268,-0.2654,16.7624,0.08906
269,-0.2666,16.7588,0.08904
270,-0.2678,16.7551,0.08903
271,-0.269,16.7515,0.08902
272,-0.2702,16.7478,0.089
273,-0.2714,16.7441,0.08899
274,-0.2726,16.7404,0.08898
275,-0.2737,16.7367,0.08897
276,-0.2749,16.7329,0.08895
277,-0.2761,16.7291,0.08894
278,-0.2773,16.7253,0.08893
279,-0.2784,16.7214,0.08892
280,-0.2796,16.7176,0.0889
281,-0.2808,16.7137,0.08889
282,-0.2819,16.7098,0.08888
283,-0.2831,16.7059,0.08887
284,-0.2842,16.7019,0.08885
285,-0.2854,16.698,0.08884
286,-0.2865,16.694,0.08883
287,-0.2876,16.69,0.08882
288,-0.2888,16.686,0.08881
289,-0.2899,16.682,0.08879
290,-0.291,16.6779,0.08878
291,-0.2922,16.6739,0.08877
292,-0.2933,16.6698,0.08876
293,-0.2944,16.6657,0.08874
294,-0.2955,16.6616,0.08873
295,-0.2966,16.6575,0.08872
296,-0.2977,16.6534,0.08871
297,-0.2988,16.6492,0.0887
298,-0.2999,16.6451,0.08869
299,-0.301,16.6409,0.08867
300,-0.3021,16.6367,0.08866
301,-0.3032,16.6326,0.08865
302,-0.3043,16.6284,0.08864
303,-0.3053,16.6242,0.08863
304,-0.3064,16.62,0.08862
305,-0.3075,16.6157,0.0886
306,-0.3086,16.6115,0.08859
307,-0.3096,16.6073,0.08858
308,-0.3107,16.603,0.08857
309,-0.3118,16.5988,0.08856
310,-0.3128,16.5945,0.08855
311,-0.3139,16.5903,0.08854
312,-0.3149,16.586,0.08852
313,-0.316,16.5817,0.08851
314,-0.317,16.5774,0.0885
315,-0.3181,16.5731,0.08849
316,-0.3191,16.5688,0.08848
317,-0.3201,16.5645,0.08847
318,-0.3212,16.5602,0.08846
319,-0.3222,16.5559,0.08845
320,-0.3232,16.5516,0.08843
321,-0.3242,16.5473,0.08842
322,-0.3253,16.543,0.08841
323,-0.3263,16.5387,0.0884
324,-0.3273,16.5343,0.08839
325,-0.3283,16.53,0.08838
326,-0.3293,16.5257,0.08837
327,-0.3303,16.5213,0.08836
328,-0.3313,16.517,0.08835
329,-0.3323,16.5127,0.08834
330,-0.3333,16.5083,0.08833
331,-0.3343,16.504,0.08832
332,-0.3353,16.4997,0.0883
333,-0.3363,16.4953,0.08829
334,-0.3373,16.491,0.08828
335,-0.3382,16.4867,0.08827
336,-0.3392,16.4823,0.08826
337,-0.3402,16.478,0.08825
338,-0.3412,16.4737,0.08824
339,-0.3421,16.4693,0.08823
340,-0.3431,16.465,0.08822
341,-0.3441,16.4607,0.08821
342,-0.345,16.4563,0.0882
343,-0.346,16.452,0.08819
344,-0.347,16.4477,0.08818
345,-0.3479,16.4434,0.08817
346,-0.3489,16.4391,0.08816
347,-0.3498,16.4347,0.08815
348,-0.3508,16.4304,0.08814
349,-0.3517,16.4261,0.08813
350,-0.3526,16.4218,0.08812
351,-0.3536,16.4175,0.08811
352,-0.3545,16.4132,0.0881
353,-0.3555,16.4089,0.08809
354,-0.3564,16.4046,0.08808
355,-0.3573,16.4004,0.08807
356,-0.3582,16.3961,0.08806
357,-0.3592,16.3918,0.08805
358,-0.3601,16.3875,0.08804
359,-0.361,16.3833,0.08803
360,-0.3619,16.379,0.08802
361,-0.3628,16.3748,0.08801
362,-0.3638,16.3705,0.088
363,-0.3647,16.3663,0.08799
364,-0.3656,16.3621,0.08798
365,-0.3665,16.3578,0.08797
366,-0.3674,16.3536,0.08796
367,-0.3683,16.3494,0.08795
368,-0.3692,16.3452,0.08794
369,-0.3701,16.341,0.08793
370,-0.371,16.3368,0.08792
371,-0.3719,16.3326,0.08791
372,-0.3727,16.3284,0.0879
373,-0.3736,16.3242,0.08789
374,-0.3745,16.32,0.08788
375,-0.3754,16.3158,0.08787
376,-0.3763,16.3117,0.08786
377,-0.3772,16.3075,0.08785
378,-0.378,16.3034,0.08784
379,-0.3789,16.2992,0.08783
380,-0.3798,16.2951,0.08782
381,-0.3806,16.291,0.08782
382,-0.3815,16.2868,0.08781
383,-0.3824,16.2827,0.0878
384,-0.3832,16.2786,0.08779
385,-0.3841,16.2745,0.08778
386,-0.385,16.2704,0.08777
387,-0.3858,16.2663,0.08776
388,-0.3867,16.2622,0.08775
389,-0.3875,16.2582,0.08774
390,-0.3884,16.2541,0.08773
391,-0.3892,16.25,0.08772
392,-0.3901,16.246,0.08771
393,-0.3909,16.2419,0.0877
394,-0.3917,16.2379,0.08769
395,-0.3926,16.2339,0.08769
396,-0.3934,16.2298,0.08768
397,-0.3943,16.2258,0.08767
398,-0.3951,16.2218,0.08766
399,-0.3959,16.2178,0.08765
400,-0.3968,16.2138,0.08764
401,-0.3976,16.2099,0.08763
402,-0.3984,16.2059,0.08762
403,-0.3992,16.2019,0.08761
404,-0.4001,16.198,0.08761
405,-0.4009,16.194,0.0876
406,-0.4017,16.1901,0.08759
407,-0.4025,16.1862,0.08758
408,-0.4033,16.1822,0.08757
409,-0.4041,16.1783,0.08756
410,-0.4049,16.1744,0.08755
411,-0.4057,16.1705,0.08754
412,-0.4066,16.1667,0.08753
413,-0.4074,16.1628,0.08753
414,-0.4082,16.1589,0.08752
415,-0.409,16.1551,0.08751
416,-0.4098,16.1512,0.0875
417,-0.4106,16.1474,0.08749
418,-0.4114,16.1435,0.08748
419,-0.4121,16.1397,0.08747
420,-0.4129,16.1359,0.08747
421,-0.4137,16.1321,0.08746
422,-0.4145,16.1283,0.08745
423,-0.4153,16.1245,0.08744
424,-0.4161,16.1207,0.08743
425,-0.4169,16.117,0.08742
426,-0.4176,16.1132,0.08741
427,-0.4184,16.1095,0.08741
428,-0.4192,16.1057,0.0874
429,-0.42,16.102,0.08739
430,-0.4208,16.0983,0.08738
431,-0.4215,16.0946,0.08737
432,-0.4223,16.0909,0.08736
433,-0.4231,16.0872,0.08736
434,-0.4238,16.0835,0.08735
435,-0.4246,16.0798,0.08734
436,-0.4254,16.0762,0.08733
437,-0.4261,16.0725,0.08732
438,-0.4269,16.0689,0.08731
439,-0.4276,16.0652,0.08731
440,-0.4284,16.0616,0.0873
441,-0.4292,16.058,0.08729
442,-0.4299,16.0544,0.08728
443,-0.4307,16.0508,0.08727
444,-0.4314,16.0472,0.08727
445,-0.4322,16.0436,0.08726
446,-0.4329,16.04,0.08725
447,-0.4337,16.0365,0.08724
