Day,L,M,S
0,-0.3053,13.4069,0.0956
1,-0.1867,13.3976,0.09597
2,-0.0681,13.3883,0.09634
3,0.0505,13.3791,0.09672
4,0.169,13.3698,0.09709
5,0.2876,13.3606,0.09746
6,0.4062,13.3513,0.09784
7,0.5247,13.3421,0.09821
8,0.5094,13.3843,0.09769
9,0.4941,13.4265,0.09716
10,0.4789,13.4687,0.09664
11,0.4636,13.511,0.09611
12,0.4483,13.5532,0.09559
13,0.433,13.5954,0.09507
14,0.4177,13.6377,0.09454
15,0.4059,13.7174,0.09416
16,0.3946,13.8006,0.0938
17,0.3839,13.8854,0.09347
18,0.3735,13.9707,0.09315
19,0.3636,14.0558,0.09285
20,0.3541,14.1404,0.09257
21,0.3449,14.2241,0.0923
22,0.336,14.3065,0.09204
23,0.3274,14.3877,0.0918
24,0.3191,14.4675,0.09156
25,0.311,14.5457,0.09134
26,0.3032,14.6225,0.09112
27,0.2955,14.6977,0.09092
28,0.2881,14.7714,0.09072
29,0.2809,14.8436,0.09053
30,0.2738,14.914,0.09035
31,0.2669,14.9822,0.09017
32,0.2602,15.0485,0.09
33,0.2536,15.1127,0.08984
34,0.2472,15.175,0.08968
35,0.2409,15.2355,0.08953
36,0.2348,15.2942,0.08938
37,0.2287,15.3511,0.08924
38,0.2228,15.4062,0.0891
39,0.217,15.4597,0.08897
40,0.2113,15.5115,0.08884
41,0.2058,15.5618,0.08871
42,0.2003,15.6107,0.08859
43,0.1949,15.6582,0.08847
44,0.1896,15.7043,0.08835
45,0.1844,15.7492,0.08824
46,0.1793,15.7929,0.08813
47,0.1743,15.8353,0.08802
48,0.1693,15.8767,0.08792
49,0.1645,15.9169,0.08782
50,0.1597,15.956,0.08772
51,0.155,15.9941,0.08762
52,0.1503,16.0311,0.08753
53,0.1457,16.0672,0.08743
54,0.1412,16.1023,0.08734
55,0.1368,16.1365,0.08725
56,0.1324,16.1698,0.08717
57,0.128,16.2021,0.08708
58,0.1238,16.2336,0.087
59,0.1196,16.2642,0.08692
60,0.1154,16.2941,0.08684
61,0.1113,16.3231,0.08676
62,0.1072,16.3513,0.08669
63,0.1032,16.3787,0.08661
64,0.0993,16.4053,0.08654
65,0.0954,16.4312,0.08646
66,0.0915,16.4562,0.08639
67,0.0877,16.4806,0.08632
68,0.084,16.5042,0.08626
69,0.0803,16.5271,0.08619
70,0.0766,16.5494,0.08612
71,0.0729,16.571,0.08606
72,0.0693,16.592,0.08599
73,0.0658,16.6124,0.08593
74,0.0623,16.6321,0.08587
75,0.0588,16.6514,0.08581
76,0.0554,16.67,0.08575
77,0.052,16.6882,0.08569
78,0.0486,16.7058,0.08564
79,0.0452,16.7229,0.08558
80,0.0419,16.7396,0.08552
81,0.0387,16.7557,0.08547
82,0.0354,16.7715,0.08541
83,0.0322,16.7867,0.08536
84,0.0291,16.8016,0.08531
85,0.0259,16.8161,0.08526
86,0.0228,16.8301,0.08521
87,0.0197,16.8438,0.08516
88,0.0167,16.8571,0.08511
89,0.0137,16.8701,0.08506
90,0.0107,16.8827,0.08501
91,0.0077,16.895,0.08496
92,0.0048,16.9069,0.08492
93,0.0018,16.9186,0.08487
94,-0.0011,16.9299,0.08483
95,-0.0039,16.941,0.08478
96,-0.0068,16.9518,0.08474
97,-0.0096,16.9623,0.0847
98,-0.0124,16.9725,0.08465
99,-0.0151,16.9825,0.08461
100,-0.0179,16.9923,0.08457
101,-0.0206,17.0018,0.08453
102,-0.0233,17.0111,0.08449
103,-0.026,17.0201,0.08445
104,-0.0287,17.029,0.08441
105,-0.0313,17.0376,0.08437
106,-0.0339,17.0461,0.08433
107,-0.0365,17.0544,0.08429
108,-0.0391,17.0624,0.08426
109,-0.0416,17.0704,0.08422
110,-0.0442,17.0781,0.08418
111,-0.0467,17.0857,0.08415
112,-0.0492,17.0931,0.08411
113,-0.0517,17.1003,0.08408
114,-0.0541,17.1074,0.08404
115,-0.0566,17.1144,0.08401
116,-0.059,17.1212,0.08397
117,-0.0614,17.1279,0.08394
118,-0.0638,17.1344,0.08391
119,-0.0662,17.1409,0.08387
120,-0.0686,17.1472,0.08384
121,-0.0709,17.1533,0.08381
122,-0.0732,17.1594,0.08378
123,-0.0756,17.1653,0.08375
124,-0.0779,17.1712,0.08371
125,-0.0801,17.1769,0.08368
126,-0.0824,17.1825,0.08365
127,-0.0847,17.188,0.08362
128,-0.0869,17.1934,0.08359
129,-0.0891,17.1987,0.08356
130,-0.0913,17.2038,0.08354
131,-0.0935,17.2089,0.08351
132,-0.0957,17.2138,0.08348
133,-0.0979,17.2187,0.08345
134,-0.1,17.2234,0.08342
135,-0.1022,17.2281,0.0834
136,-0.1043,17.2326,0.08337
137,-0.1064,17.237,0.08334
138,-0.1085,17.2414,0.08332
139,-0.1106,17.2456,0.08329
140,-0.1127,17.2497,0.08326
141,-0.1147,17.2537,0.08324
142,-0.1168,17.2576,0.08321
143,-0.1188,17.2615,0.08319
144,-0.1208,17.2652,0.08316
145,-0.1229,17.2688,0.08314
146,-0.1249,17.2723,0.08311
147,-0.1269,17.2757,0.08309
148,-0.1288,17.2791,0.08306
149,-0.1308,17.2823,0.08304
150,-0.1328,17.2854,0.08302
151,-0.1347,17.2885,0.08299
152,-0.1366,17.2914,0.08297
153,-0.1386,17.2943,0.08295
154,-0.1405,17.297,0.08292
155,-0.1424,17.2997,0.0829
156,-0.1443,17.3023,0.08288
157,-0.1462,17.3048,0.08285
158,-0.148,17.3072,0.08283
159,-0.1499,17.3095,0.08281
160,-0.1518,17.3117,0.08279
161,-0.1536,17.3139,0.08277
162,-0.1554,17.316,0.08275
163,-0.1573,17.318,0.08272
164,-0.1591,17.3199,0.0827
165,-0.1609,17.3218,0.08268
166,-0.1627,17.3235,0.08266
167,-0.1645,17.3252,0.08264
168,-0.1663,17.3268,0.08262
169,-0.168,17.3284,0.0826
170,-0.1698,17.3299,0.08258
171,-0.1715,17.3313,0.08256
172,-0.1733,17.3326,0.08254
173,-0.175,17.3338,0.08252
174,-0.1768,17.335,0.0825
175,-0.1785,17.3361,0.08248
176,-0.1802,17.3371,0.08246
177,-0.1819,17.3381,0.08244
178,-0.1836,17.339,0.08242
179,-0.1853,17.3398,0.08241
180,-0.187,17.3406,0.08239
181,-0.1886,17.3412,0.08237
182,-0.1903,17.3419,0.08235
183,-0.1919,17.3424,0.08233
184,-0.1936,17.3429,0.08231
185,-0.1952,17.3433,0.0823
186,-0.1969,17.3437,0.08228
187,-0.1985,17.3439,0.08226
188,-0.2001,17.3441,0.08224
189,-0.2017,17.3443,0.08222
190,-0.2033,17.3444,0.08221
191,-0.2049,17.3444,0.08219
192,-0.2065,17.3443,0.08217
193,-0.2081,17.3442,0.08216
194,-0.2097,17.344,0.08214
195,-0.2112,17.3438,0.08212
196,-0.2128,17.3434,0.0821
197,-0.2144,17.3431,0.08209
198,-0.2159,17.3426,0.08207
199,-0.2174,17.3421,0.08205
200,-0.219,17.3416,0.08204
201,-0.2205,17.3409,0.08202
202,-0.222,17.3402,0.08201
203,-0.2235,17.3395,0.08199
204,-0.2251,17.3387,0.08197
205,-0.2266,17.3378,0.08196
206,-0.2281,17.3369,0.08194
207,-0.2295,17.3359,0.08193
208,-0.231,17.3349,0.08191
209,-0.2325,17.3338,0.08189
210,-0.234,17.3326,0.08188
211,-0.2354,17.3314,0.08186
212,-0.2369,17.3302,0.08185
213,-0.2384,17.3289,0.08183
214,-0.2398,17.3275,0.08182
215,-0.2413,17.3261,0.0818
216,-0.2427,17.3246,0.08179
217,-0.2441,17.323,0.08177
218,-0.2456,17.3215,0.08176
219,-0.247,17.3198,0.08174
220,-0.2484,17.3181,0.08173
221,-0.2498,17.3164,0.08171
222,-0.2512,17.3146,0.0817
223,-0.2526,17.3127,0.08168
224,-0.254,17.3108,0.08167
225,-0.2554,17.3089,0.08165
226,-0.2568,17.3069,0.08164
227,-0.2581,17.3048,0.08163
228,-0.2595,17.3027,0.08161
229,-0.2609,17.3006,0.0816
230,-0.2622,17.2984,0.08158
231,-0.2636,17.2962,0.08157
232,-0.265,17.2939,0.08155
233,-0.2663,17.2916,0.08154
234,-0.2676,17.2892,0.08153
235,-0.269,17.2868,0.08151
236,-0.2703,17.2844,0.0815
237,-0.2716,17.2819,0.08149
238,-0.273,17.2794,0.08147
239,-0.2743,17.2768,0.08146
240,-0.2756,17.2742,0.08145
241,-0.2769,17.2715,0.08143
242,-0.2782,17.2688,0.08142
243,-0.2795,17.2661,0.08141
244,-0.2808,17.2633,0.08139
245,-0.2821,17.2605,0.08138
246,-0.2834,17.2577,0.08137
247,-0.2847,17.2548,0.08135
248,-0.2859,17.2519,0.08134
249,-0.2872,17.249,0.08133
250,-0.2885,17.246,0.08131
251,-0.2898,17.243,0.0813
252,-0.291,17.2399,0.08129
253,-0.2923,17.2368,0.08128
254,-0.2935,17.2337,0.08126
255,-0.2948,17.2306,0.08125
256,-0.296,17.2274,0.08124
257,-0.2972,17.2242,0.08122
258,-0.2985,17.221,0.08121
259,-0.2997,17.2177,0.0812
260,-0.3009,17.2144,0.08119
261,-0.3022,17.2111,0.08117
262,-0.3034,17.2078,0.08116
263,-0.3046,17.2044,0.08115
264,-0.3058,17.2011,0.08114
265,-0.307,17.1976,0.08113
266,-0.3082,17.1942,0.08111
267,-0.3094,17.1908,0.0811
268,-0.3106,17.1873,0.08109
269,-0.3118,17.1838,0.08108
270,-0.313,17.1803,0.08107
271,-0.3142,17.1767,0.08105
272,-0.3153,17.1731,0.08104
273,-0.3165,17.1696,0.08103
274,-0.3177,17.1659,0.08102
275,-0.3189,17.1623,0.08101
276,-0.32,17.1587,0.08099
277,-0.3212,17.155,0.08098
278,-0.3223,17.1513,0.08097
279,-0.3235,17.1476,0.08096
280,-0.3246,17.1439,0.08095
281,-0.3258,17.1402,0.08094
282,-0.3269,17.1364,0.08093
283,-0.3281,17.1326,0.08091
284,-0.3292,17.1288,0.0809
285,-0.3303,17.125,0.08089
286,-0.3315,17.1212,0.08088
287,-0.3326,17.1174,0.08087
288,-0.3337,17.1135,0.08086
289,-0.3348,17.1097,0.08085
290,-0.3359,17.1058,0.08084
291,-0.3371,17.1019,0.08082
292,-0.3382,17.098,0.08081
293,-0.3393,17.0941,0.0808
294,-0.3404,17.0901,0.08079
295,-0.3415,17.0862,0.08078
296,-0.3426,17.0823,0.08077
297,-0.3437,17.0783,0.08076
298,-0.3448,17.0743,0.08075
299,-0.3458,17.0703,0.08074
300,-0.3469,17.0663,0.08073
301,-0.348,17.0623,0.08071
302,-0.3491,17.0583,0.0807
303,-0.3502,17.0543,0.08069
304,-0.3512,17.0503,0.08068
305,-0.3523,17.0463,0.08067
306,-0.3534,17.0422,0.08066
307,-0.3544,17.0382,0.08065
308,-0.3555,17.0341,0.08064
309,-0.3565,17.0301,0.08063
310,-0.3576,17.026,0.08062
311,-0.3586,17.0219,0.08061
312,-0.3597,17.0178,0.0806
313,-0.3607,17.0138,0.08059
314,-0.3618,17.0097,0.08058
315,-0.3628,17.0056,0.08057
316,-0.3638,17.0015,0.08056
317,-0.3649,16.9974,0.08055
318,-0.3659,16.9933,0.08054
319,-0.3669,16.9892,0.08053
320,-0.3679,16.985,0.08052
321,-0.369,16.9809,0.08051
322,-0.37,16.9768,0.0805
323,-0.371,16.9727,0.08049
324,-0.372,16.9686,0.08048
325,-0.373,16.9644,0.08047
326,-0.374,16.9603,0.08046
327,-0.375,16.9562,0.08045
328,-0.376,16.9521,0.08044
329,-0.377,16.9479,0.08043
330,-0.378,16.9438,0.08042
331,-0.379,16.9397,0.08041
332,-0.38,16.9355,0.0804
333,-0.381,16.9314,0.08039
334,-0.382,16.9273,0.08038
335,-0.383,16.9231,0.08037
336,-0.3839,16.919,0.08036
337,-0.3849,16.9148,0.08035
338,-0.3859,16.9107,0.08034
339,-0.3869,16.9066,0.08033
340,-0.3878,16.9024,0.08032
341,-0.3888,16.8983,0.08031
342,-0.3898,16.8942,0.0803
343,-0.3907,16.89,0.08029
344,-0.3917,16.8859,0.08028
345,-0.3926,16.8817,0.08027
346,-0.3936,16.8776,0.08026
347,-0.3945,16.8735,0.08025
348,-0.3955,16.8693,0.08024
349,-0.3964,16.8652,0.08023
350,-0.3974,16.861,0.08022
351,-0.3983,16.8569,0.08022
352,-0.3993,16.8528,0.08021
353,-0.4002,16.8486,0.0802
354,-0.4011,16.8445,0.08019
355,-0.4021,16.8404,0.08018
356,-0.403,16.8363,0.08017
357,-0.4039,16.8321,0.08016
358,-0.4049,16.828,0.08015
359,-0.4058,16.8239,0.08014
360,-0.4067,16.8198,0.08013
361,-0.4076,16.8156,0.08012
362,-0.4085,16.8115,0.08011
363,-0.4095,16.8074,0.08011
364,-0.4104,16.8033,0.0801
365,-0.4113,16.7992,0.08009
366,-0.4122,16.7951,0.08008
367,-0.4131,16.7909,0.08007
368,-0.414,16.7868,0.08006
369,-0.4149,16.7827,0.08005
370,-0.4158,16.7786,0.08004
371,-0.4167,16.7745,0.08003
372,-0.4176,16.7704,0.08003
373,-0.4185,16.7663,0.08002
374,-0.4194,16.7622,0.08001
375,-0.4203,16.7582,0.08
376,-0.4211,16.7541,0.07999
377,-0.422,16.75,0.07998
378,-0.4229,16.7459,0.07997
379,-0.4238,16.7418,0.07996
380,-0.4247,16.7377,0.07996
381,-0.4255,16.7337,0.07995
382,-0.4264,16.7296,0.07994
383,-0.4273,16.7255,0.07993
384,-0.4282,16.7215,0.07992
385,-0.429,16.7174,0.07991
386,-0.4299,16.7134,0.0799
387,-0.4308,16.7093,0.0799
388,-0.4316,16.7053,0.07989
389,-0.4325,16.7012,0.07988
390,-0.4333,16.6972,0.07987
391,-0.4342,16.6932,0.07986
392,-0.435,16.6891,0.07985
393,-0.4359,16.6851,0.07984
394,-0.4367,16.6811,0.07984
395,-0.4376,16.6771,0.07983
