Day,L,M,S
0,1,49.1477,0.0379
1,1,49.3166,0.03783
2,1,49.4854,0.03776
3,1,49.6543,0.0377
4,1,49.8232,0.03763
5,1,49.9921,0.03756
6,1,50.1609,0.03749
7,1,50.3298,0.03742
8,1,50.4987,0.03735
9,1,50.6676,0.03728
10,1,50.8365,0.03722
11,1,51.0053,0.03715
12,1,51.1742,0.03708
13,1,51.3431,0.03701
14,1,51.512,0.03694
15,1,51.651,0.0369
16,1,51.7895,0.03687
17,1,51.9272,0.03683
18,1,52.0641,0.0368
19,1,52.2002,0.03676
20,1,52.3353,0.03673
21,1,52.4695,0.03669
22,1,52.6027,0.03666
23,1,52.7349,0.03663
24,1,52.8661,0.0366
25,1,52.9963,0.03656
26,1,53.1255,0.03653
27,1,53.2537,0.0365
28,1,53.3809,0.03647
29,1,53.5072,0.03644
30,1,53.6326,0.03641
31,1,53.7571,0.03638
32,1,53.8806,0.03636
33,1,54.0031,0.03633
34,1,54.1247,0.0363
35,1,54.2454,0.03627
36,1,54.3651,0.03625
37,1,54.4839,0.03622
38,1,54.6018,0.03619
39,1,54.7187,0.03617
40,1,54.8348,0.03614
41,1,54.9499,0.03612
42,1,55.0642,0.03609
43,1,55.1777,0.03607
44,1,55.2903,0.03604
45,1,55.4021,0.03602
46,1,55.513,0.036
47,1,55.623,0.03597
48,1,55.7322,0.03595
49,1,55.8406,0.03593
50,1,55.9482,0.03591
51,1,56.0549,0.03588
52,1,56.1609,0.03586
53,1,56.266,0.03584
54,1,56.3704,0.03582
55,1,56.4739,0.0358
56,1,56.5767,0.03578
57,1,56.6788,0.03576
58,1,56.78,0.03574
59,1,56.8806,0.03572
60,1,56.9805,0.0357
61,1,57.0796,0.03568
62,1,57.1782,0.03566
63,1,57.2761,0.03564
64,1,57.3733,0.03562
65,1,57.4699,0.03561
66,1,57.5659,0.03559
67,1,57.6613,0.03557
68,1,57.756,0.03555
69,1,57.8501,0.03553
70,1,57.9436,0.03552
71,1,58.0365,0.0355
72,1,58.1288,0.03548
73,1,58.2206,0.03547
74,1,58.3117,0.03545
75,1,58.4022,0.03543
76,1,58.4922,0.03542
77,1,58.5816,0.0354
78,1,58.6705,0.03539
79,1,58.7588,0.03537
80,1,58.8465,0.03536
81,1,58.9337,0.03534
82,1,59.0204,0.03533
83,1,59.1066,0.03531
84,1,59.1922,0.0353
85,1,59.2773,0.03528
86,1,59.3619,0.03527
87,1,59.4459,0.03526
88,1,59.5295,0.03524
89,1,59.6126,0.03523
90,1,59.6952,0.03521
91,1,59.7773,0.0352
92,1,59.8589,0.03519
93,1,59.9401,0.03517
94,1,60.0209,0.03516
95,1,60.1011,0.03515
96,1,60.181,0.03514
97,1,60.2603,0.03512
98,1,60.3393,0.03511
99,1,60.4178,0.0351
100,1,60.4958,0.03509
101,1,60.5734,0.03508
102,1,60.6506,0.03506
103,1,60.7273,0.03505
104,1,60.8036,0.03504
105,1,60.8795,0.03503
106,1,60.955,0.03502
107,1,61.0301,0.03501
108,1,61.1047,0.035
109,1,61.1789,0.03499
110,1,61.2527,0.03497
111,1,61.3261,0.03496
112,1,61.3991,0.03495
113,1,61.4717,0.03494
114,1,61.5439,0.03493
115,1,61.6156,0.03492
116,1,61.687,0.03491
117,1,61.758,0.0349
118,1,61.8286,0.03489
119,1,61.8988,0.03488
120,1,61.9686,0.03487
121,1,62.0381,0.03487
122,1,62.1071,0.03486
123,1,62.1758,0.03485
124,1,62.2441,0.03484
125,1,62.312,0.03483
126,1,62.3795,0.03482
127,1,62.4467,0.03481
128,1,62.5135,0.0348
129,1,62.58,0.03479
130,1,62.6461,0.03479
131,1,62.7118,0.03478
132,1,62.7772,0.03477
133,1,62.8423,0.03476
134,1,62.907,0.03475
135,1,62.9714,0.03475
136,1,63.0354,0.03474
137,1,63.0991,0.03473
138,1,63.1626,0.03472
139,1,63.2257,0.03471
140,1,63.2884,0.03471
141,1,63.3509,0.0347
142,1,63.4131,0.03469
143,1,63.475,0.03469
144,1,63.5365,0.03468
145,1,63.5978,0.03467
146,1,63.6588,0.03467
147,1,63.7196,0.03466
148,1,63.78,0.03465
149,1,63.8402,0.03465
150,1,63.9,0.03464
151,1,63.9597,0.03463
152,1,64.019,0.03463
153,1,64.0781,0.03462
154,1,64.137,0.03461
