Day,L,M,S
0,1,34.4618,0.03686
1,1,34.562,0.03656
2,1,34.6622,0.03625
3,1,34.7625,0.03595
4,1,34.8627,0.03564
5,1,34.9629,0.03533
6,1,35.0631,0.03503
7,1,35.1634,0.03472
8,1,35.2636,0.03441
9,1,35.3638,0.03411
10,1,35.464,0.0338
11,1,35.5643,0.0335
12,1,35.6645,0.03319
13,1,35.7647,0.03288
14,1,35.8649,0.03258
15,1,35.9652,0.03248
16,1,36.0632,0.03239
17,1,36.159,0.0323
18,1,36.2526,0.03221
19,1,36.3441,0.03213
20,1,36.4338,0.03205
21,1,36.5216,0.03197
22,1,36.6078,0.03189
23,1,36.6922,0.03182
24,1,36.7751,0.03175
25,1,36.8566,0.03168
26,1,36.9366,0.03161
27,1,37.0152,0.03154
28,1,37.0926,0.03148
29,1,37.1687,0.03141
30,1,37.2435,0.03135
31,1,37.3172,0.03129
32,1,37.3898,0.03123
33,1,37.4612,0.03118
34,1,37.5316,0.03112
35,1,37.601,0.03107
36,1,37.6694,0.03101
37,1,37.7368,0.03096
38,1,37.8034,0.03091
39,1,37.869,0.03086
40,1,37.9338,0.03081
41,1,37.9978,0.03076
42,1,38.0609,0.03072
43,1,38.1233,0.03067
44,1,38.185,0.03062
45,1,38.2459,0.03058
46,1,38.3061,0.03054
47,1,38.3655,0.03049
48,1,38.4243,0.03045
49,1,38.4824,0.03041
50,1,38.5399,0.03037
51,1,38.5968,0.03033
52,1,38.653,0.03029
53,1,38.7087,0.03025
54,1,38.7638,0.03021
55,1,38.8183,0.03018
56,1,38.8724,0.03014
57,1,38.9258,0.0301
58,1,38.9788,0.03007
59,1,39.0313,0.03003
60,1,39.0834,0.03
61,1,39.1349,0.02997
62,1,39.1861,0.02993
63,1,39.2368,0.0299
64,1,39.2871,0.02987
65,1,39.3369,0.02984
66,1,39.3863,0.02981
67,1,39.4353,0.02978
68,1,39.4838,0.02975
69,1,39.532,0.02972
70,1,39.5797,0.02969
71,1,39.6271,0.02966
72,1,39.674,0.02963
73,1,39.7206,0.02961
74,1,39.7668,0.02958
75,1,39.8127,0.02955
76,1,39.8581,0.02953
77,1,39.9033,0.0295
78,1,39.948,0.02948
79,1,39.9924,0.02945
80,1,40.0365,0.02943
81,1,40.0803,0.0294
82,1,40.1237,0.02938
83,1,40.1668,0.02936
84,1,40.2096,0.02933
85,1,40.2521,0.02931
86,1,40.2943,0.02929
87,1,40.3362,0.02927
88,1,40.3778,0.02925
89,1,40.4191,0.02922
90,1,40.4601,0.0292
91,1,40.5008,0.02918
92,1,40.5413,0.02916
93,1,40.5815,0.02914
94,1,40.6214,0.02912
95,1,40.6611,0.0291
96,1,40.7005,0.02908
97,1,40.7396,0.02907
98,1,40.7785,0.02905
99,1,40.8172,0.02903
100,1,40.8555,0.02901
101,1,40.8936,0.02899
102,1,40.9315,0.02898
103,1,40.9691,0.02896
104,1,41.0065,0.02894
105,1,41.0436,0.02893
106,1,41.0805,0.02891
107,1,41.1172,0.02889
108,1,41.1536,0.02888
109,1,41.1898,0.02886
110,1,41.2257,0.02885
111,1,41.2615,0.02883
112,1,41.297,0.02882
113,1,41.3323,0.0288
114,1,41.3673,0.02879
115,1,41.4022,0.02877
116,1,41.4368,0.02876
117,1,41.4712,0.02875
118,1,41.5054,0.02873
119,1,41.5394,0.02872
120,1,41.5731,0.02871
121,1,41.6067,0.02869
122,1,41.6401,0.02868
123,1,41.6732,0.02867
124,1,41.7062,0.02865
125,1,41.7389,0.02864
126,1,41.7715,0.02863
127,1,41.8038,0.02862
128,1,41.836,0.02861
129,1,41.868,0.02859
130,1,41.8997,0.02858
131,1,41.9313,0.02857
132,1,41.9627,0.02856
133,1,41.9939,0.02855
134,1,42.0249,0.02854
135,1,42.0557,0.02853
136,1,42.0864,0.02852
137,1,42.1168,0.02851
138,1,42.1471,0.0285
139,1,42.1772,0.02849
140,1,42.2071,0.02848
141,1,42.2368,0.02847
142,1,42.2664,0.02846
143,1,42.2957,0.02845
144,1,42.3249,0.02844
145,1,42.354,0.02843
146,1,42.3828,0.02842
147,1,42.4115,0.02841
148,1,42.44,0.0284
149,1,42.4684,0.02839
150,1,42.4965,0.02839
151,1,42.5246,0.02838
152,1,42.5524,0.02837
153,1,42.5801,0.02836
154,1,42.6076,0.02835
155,1,42.6349,0.02835
156,1,42.6621,0.02834
157,1,42.6892,0.02833
158,1,42.716,0.02832
159,1,42.7427,0.02832
160,1,42.7693,0.02831
161,1,42.7957,0.0283
162,1,42.8219,0.02829
163,1,42.848,0.02829
164,1,42.874,0.02828
165,1,42.8997,0.02827
166,1,42.9254,0.02827
167,1,42.9509,0.02826
168,1,42.9762,0.02825
169,1,43.0014,0.02825
170,1,43.0264,0.02824
171,1,43.0513,0.02823
172,1,43.0761,0.02823
173,1,43.1007,0.02822
174,1,43.1252,0.02822
175,1,43.1495,0.02821
176,1,43.1737,0.0282
177,1,43.1978,0.0282
178,1,43.2217,0.02819
179,1,43.2455,0.02819
180,1,43.2691,0.02818
181,1,43.2927,0.02818
182,1,43.316,0.02817
183,1,43.3393,0.02817
184,1,43.3624,0.02816
185,1,43.3854,0.02816
186,1,43.4083,0.02815
187,1,43.431,0.02815
188,1,43.4536,0.02814
189,1,43.4761,0.02814
190,1,43.4984,0.02813
191,1,43.5206,0.02813
192,1,43.5427,0.02812
193,1,43.5647,0.02812
194,1,43.5865,0.02811
195,1,43.6082,0.02811
196,1,43.6298,0.0281
197,1,43.6513,0.0281
198,1,43.6727,0.0281
199,1,43.6939,0.02809
200,1,43.715,0.02809
201,1,43.736,0.02808
202,1,43.7569,0.02808
203,1,43.7777,0.02808
204,1,43.7983,0.02807
205,1,43.8188,0.02807
206,1,43.8393,0.02807
207,1,43.8596,0.02806
208,1,43.8798,0.02806
209,1,43.8998,0.02806
210,1,43.9198,0.02805
211,1,43.9397,0.02805
212,1,43.9594,0.02805
213,1,43.9791,0.02804
214,1,43.9986,0.02804
215,1,44.0181,0.02804
216,1,44.0374,0.02803
217,1,44.0566,0.02803
218,1,44.0757,0.02803
219,1,44.0947,0.02802
220,1,44.1136,0.02802
221,1,44.1325,0.02802
222,1,44.1512,0.02801
223,1,44.1698,0.02801
224,1,44.1883,0.02801
225,1,44.2067,0.02801
226,1,44.225,0.028
227,1,44.2432,0.028
228,1,44.2613,0.028
229,1,44.2793,0.028
230,1,44.2972,0.02799
231,1,44.315,0.02799
232,1,44.3328,0.02799
233,1,44.3504,0.02799
234,1,44.3679,0.02798
235,1,44.3854,0.02798
236,1,44.4027,0.02798
237,1,44.42,0.02798
238,1,44.4372,0.02798
239,1,44.4543,0.02797
240,1,44.4713,0.02797
241,1,44.4882,0.02797
242,1,44.505,0.02797
243,1,44.5217,0.02797
244,1,44.5384,0.02796
245,1,44.5549,0.02796
246,1,44.5714,0.02796
247,1,44.5878,0.02796
248,1,44.6041,0.02796
249,1,44.6203,0.02795
250,1,44.6365,0.02795
251,1,44.6525,0.02795
252,1,44.6685,0.02795
253,1,44.6844,0.02795
254,1,44.7002,0.02795
255,1,44.716,0.02794
256,1,44.7316,0.02794
257,1,44.7472,0.02794
258,1,44.7627,0.02794
259,1,44.7781,0.02794
260,1,44.7935,0.02794
261,1,44.8088,0.02794
262,1,44.824,0.02793
263,1,44.8391,0.02793
264,1,44.8542,0.02793
265,1,44.8691,0.02793
266,1,44.884,0.02793
267,1,44.8989,0.02793
268,1,44.9136,0.02793
269,1,44.9283,0.02793
270,1,44.9429,0.02792
271,1,44.9575,0.02792
272,1,44.972,0.02792
273,1,44.9864,0.02792
274,1,45.0007,0.02792
275,1,45.015,0.02792
276,1,45.0292,0.02792
277,1,45.0433,0.02792
278,1,45.0573,0.02792
279,1,45.0713,0.02791
280,1,45.0853,0.02791
281,1,45.0991,0.02791
282,1,45.1129,0.02791
283,1,45.1267,0.02791
284,1,45.1403,0.02791
285,1,45.1539,0.02791
286,1,45.1674,0.02791
287,1,45.1809,0.02791
288,1,45.1943,0.02791
289,1,45.2077,0.02791
290,1,45.2209,0.02791
291,1,45.2341,0.0279
292,1,45.2473,0.0279
293,1,45.2604,0.0279
294,1,45.2734,0.0279
295,1,45.2864,0.0279
296,1,45.2993,0.0279
297,1,45.3121,0.0279
298,1,45.3249,0.0279
299,1,45.3377,0.0279
300,1,45.3503,0.0279
301,1,45.3629,0.0279
302,1,45.3755,0.0279
303,1,45.388,0.0279
304,1,45.4004,0.0279
305,1,45.4128,0.0279
306,1,45.4251,0.0279
307,1,45.4374,0.02789
308,1,45.4496,0.02789
309,1,45.4618,0.02789
310,1,45.4739,0.02789
311,1,45.4859,0.02789
312,1,45.4979,0.02789
313,1,45.5098,0.02789
314,1,45.5217,0.02789
315,1,45.5336,0.02789
316,1,45.5453,0.02789
317,1,45.5571,0.02789
318,1,45.5687,0.02789
319,1,45.5803,0.02789
320,1,45.5919,0.02789
321,1,45.6034,0.02789
322,1,45.6149,0.02789
323,1,45.6263,0.02789
324,1,45.6376,0.02789
325,1,45.6489,0.02789
326,1,45.6602,0.02789
327,1,45.6714,0.02789
328,1,45.6826,0.02789
329,1,45.6937,0.02789
330,1,45.7047,0.02789
331,1,45.7158,0.02789
332,1,45.7267,0.02789
333,1,45.7376,0.02789
334,1,45.7485,0.02789
335,1,45.7593,0.02789
336,1,45.7701,0.02789
337,1,45.7808,0.02789
338,1,45.7915,0.02789
339,1,45.8022,0.02789
340,1,45.8128,0.02789
341,1,45.8233,0.02788
342,1,45.8338,0.02788
343,1,45.8443,0.02788
344,1,45.8547,0.02788
345,1,45.8651,0.02788
346,1,45.8754,0.02788
347,1,45.8857,0.02788
348,1,45.8959,0.02788
349,1,45.9061,0.02788
350,1,45.9163,0.02788
351,1,45.9264,0.02788
352,1,45.9364,0.02788
353,1,45.9465,0.02788
354,1,45.9565,0.02788
355,1,45.9664,0.02788
356,1,45.9763,0.02788
357,1,45.9862,0.02788
358,1,45.996,0.02788
359,1,46.0058,0.02788
360,1,46.0155,0.02788
361,1,46.0252,0.02788
362,1,46.0349,0.02789
363,1,46.0445,0.02789
364,1,46.0541,0.02789
365,1,46.0637,0.02789
366,1,46.0732,0.02789
367,1,46.0827,0.02789
368,1,46.0921,0.02789
369,1,46.1015,0.02789
370,1,46.1109,0.02789
371,1,46.1202,0.02789
372,1,46.1295,0.02789
373,1,46.1387,0.02789
374,1,46.148,0.02789
375,1,46.1572,0.02789
376,1,46.1663,0.02789
